,keyword,labels
0,기업,0
1,체결,0
2,솔루션,0
3,시스템,0
4,기술,0
5,서비스,0
6,개발,0
7,협약,0
8,사업,0
9,플랫폼,0
10,출시,0
11,개최,0
12,정보,0
13,산업,0
14,창업,0
15,업무,0
16,글로벌,0
17,스마트,0
18,수상,0
19,테크,0
0,개최,0
1,디자인,0
2,문화,0
3,협회,0
4,선정,0
5,기업,0
6,산업,0
7,오픈,0
8,교육,0
9,미용,0
10,지원,0
11,건축,0
12,체결,0
13,활용,0
14,마케팅,0
15,법인,0
16,중소기업,0
17,출판,0
18,회장,0
19,기술,0
0,기업,0
1,대상,0
2,브랜드,0
3,전문,0
4,출시,0
5,체결,0
6,개최,0
7,지원,0
8,기술,0
9,협약,0
10,사업,0
11,신설,0
12,별세,0
13,쇼핑몰,0
14,시장,0
15,통신,0
16,사회,0
17,전기,0
18,법인,0
19,청년,0
0,건설,0
1,신설,0
2,법인,0
3,기술,0
4,엔씨,0
5,수상,0
6,디자인,0
7,기업,0
8,협회,0
9,테크,0
10,발전,0
11,기금,0
12,전달,0
13,시공,0
14,성금,0
15,품질,0
16,도회,0
17,공간,0
18,성우,0
19,표창,0
0,기술,0
1,기업,0
2,드라이기,0
3,개발,0
4,전문,0
5,스마트,0
6,세계,0
7,케이,0
8,업체,0
9,산업,0
10,테크,0
11,헤어,0
12,혁신,0
13,시스템,0
14,개최,0
15,협약,0
16,대포,0
17,멕스,0
18,글로벌,0
19,수출,0
0,맛집,0
1,달인,0
2,홍대,0
3,참치,0
4,커피,0
5,카페,0
6,결혼,0
7,열애,0
8,결실,0
9,파스타,0
10,새우,0
11,프랜차이즈,0
12,가맹,0
13,브랜드,0
14,동네,0
15,가게,0
16,식당,0
17,역사,0
18,주물,0
19,키친,0
